DB,Source_file,Ref_video,Resolution,Color_encoding,Aggregate_vmaf,Subject_score,PSNR,SSIM,MS_SSIM,frame,blockiness,spatialactivity,letterbox,pillarbox,blockloss,blur,temporalact,blockout,freezing,exposure,contrast,brightness,interlace,noise,slice,flickering,fps,two_res,one_res,duration
DB1,src10_hrc13,src10_hrc00_,640x480,yuv422p,86.83688743,4.185185185,38.922108,0.983206,0.992966,480,1.042655417,66.89554238,0,0,0,0,40.4962631,0,0,114.5270833,33.35782344,0.563328167,32.50375,10.30659375,-0.859635417,#DIV/0!,30,0,1,16
DB1,src10_hrc14,src10_hrc00_,640x480,yuv422p,73.75837233,3,35.013659,0.960621,0.982052,480,1.043605563,65.13766808,0,0,0,0,40.05072079,0,0,114.66875,33.07049648,0.592185729,32.31222917,25.77199167,-0.859635417,#DIV/0!,30,0,1,16
DB1,src10_hrc04,src10_hrc00_,640x480,yuv422p,55.56531101,2,30.918762,0.90456,0.958484,480,1.04577125,58.48413942,0,0,0,0,38.53827373,0,0,114.075,32.25842619,0.631017563,31.38314583,12.95525,-0.859635417,#DIV/0!,30,0,1,16
DB1,src10_hrc07,src10_hrc00_,640x480,yuv422p,56.86573148,1.740740741,31.676983,0.919753,0.959783,480,1.045958021,62.24120742,0,0,0,0.002083333,39.32107058,0,0,114.44375,32.67333044,0.609376167,31.8055,13.05139167,-0.859635417,#DIV/0!,30,0,1,16
DB1,src10_hrc22,src10_hrc00_,640x480,yuv422p,76.53921179,3.037037037,35.395214,0.96429,0.983779,480,1.043180833,65.97438502,0,0,0,0,40.24750421,0,0,114.6708333,33.17045121,0.572971146,32.28183333,33.8711875,-0.859635417,#DIV/0!,30,0,1,16
DB1,src10_hrc09,src10_hrc00_,640x480,yuv422p,86.80374342,4.074074074,38.919536,0.983165,0.992956,480,1.042755604,66.88149819,0,0,0,0.002083333,40.49651683,0,0,114.5416667,33.35578517,0.563563188,32.4266875,12.12337917,-0.859635417,#DIV/0!,30,0,1,16
DB1,src10_hrc21,src10_hrc00_,640x480,yuv422p,89.02173341,4.111111111,39.482184,0.985342,0.993766,480,1.042255292,67.552721,0,0,0,0,40.66361444,0,0,114.4666667,33.45942879,0.580117729,32.61179167,18.28400208,-0.859635417,#DIV/0!,30,0,1,16
DB1,src10_hrc05,src10_hrc00_,640x480,yuv422p,86.97529298,3.925925926,38.897638,0.983081,0.992904,480,1.043134604,66.90956677,0,0,0,0,40.50291992,0,0,114.525,33.35846127,0.563915583,32.47425,7.651052083,-0.859635417,#DIV/0!,30,0,1,16
DB1,src10_hrc28,src10_hrc00_,640x480,yuv422p,40.81858292,1.074074074,30.259765,0.880905,0.916633,480,1.052136375,58.64707008,0,0,0,0,37.59149063,0,0,113.6979167,31.76541408,0.640576125,31.35829167,49.85021667,-0.859635417,#DIV/0!,30,0,1,16
DB1,src10_hrc15,src10_hrc00_,640x480,yuv422p,51.78608396,1.62962963,31.495961,0.919439,0.957555,480,1.048220479,62.2279169,0,0,0,0,39.03766754,0,0,114.6083333,32.54893779,0.608381229,31.86358333,26.355225,-0.859635417,#DIV/0!,30,0,1,16
DB1,src10_hrc23,src10_hrc00_,640x480,yuv422p,53.6614456,1.62962963,31.704295,0.922654,0.9597,480,1.044987917,62.6167851,0,0,0,0,39.17340506,0,0,114.4895833,32.59138042,0.654647083,31.9036875,35.21310208,-0.859635417,#DIV/0!,30,0,1,16
DB1,src10_hrc08,src10_hrc00_,640x480,yuv422p,45.3589575,1.444444444,30.108495,0.88926,0.944957,480,1.047294271,58.22604046,0,0,0,0,38.30669985,0,0,114.0229167,32.10791588,0.632553938,31.4338125,15.60671875,-0.859635417,#DIV/0!,30,0,1,16
DB1,src10_hrc11,src10_hrc00_,640x480,yuv422p,52.56912973,1.62962963,31.481878,0.919082,0.957346,480,1.049572583,62.53413033,0,0,0,0.002083333,39.10631613,0,0,114.5791667,32.56737521,0.589684604,31.84664583,23.87444583,-0.859635417,#DIV/0!,30,0,1,16
DB1,src10_hrc20,src10_hrc00_,640x480,yuv422p,16.71529172,1,26.805938,0.822771,0.868692,480,1.058413979,53.80295673,0,0,0,0,35.76931979,0,0,113.0458333,30.80649927,0.6861405,30.65772917,63.02469583,-0.859635417,#DIV/0!,30,0,1,16
DB1,src10_hrc06,src10_hrc00_,640x480,yuv422p,74.71697745,3.111111111,35.024988,0.960757,0.982156,480,1.045323646,65.30505425,0,0,0,0,40.10892267,0,0,114.6479167,33.0960155,0.580458313,32.2718125,10.1764625,-0.859635417,#DIV/0!,30,0,1,16
DB1,src10_hrc18,src10_hrc00_,640x480,yuv422p,34.35290082,1.814814815,29.418315,0.876467,0.93555,480,1.047626708,57.13430827,0,0,0,0,38.48975583,0,0,114.5041667,32.12411175,0.621503771,31.51460417,32.36627917,-0.859635417,#DIV/0!,30,0,1,16
DB1,src10_hrc01,src10_hrc00_,640x480,yuv422p,87.51297628,4.074074074,38.884674,0.982914,0.992829,480,1.042715188,66.9289231,0,0,0,0,40.54817588,0,0,114.5020833,33.38538858,0.559331083,32.46797917,8.819045833,-0.859635417,#DIV/0!,30,0,1,16
DB1,src10_hrc16,src10_hrc00_,640x480,yuv422p,30.89888735,1.185185185,28.61242,0.865407,0.914076,480,1.051297146,58.449579,0,0,0,0.004166667,37.29523829,0,0,114.1354167,31.51251125,0.650361146,30.99241667,32.715475,-0.859635417,#DIV/0!,30,0,1,16
DB1,src10_hrc12,src10_hrc00_,640x480,yuv422p,34.47547739,1.037037037,28.984252,0.869583,0.922333,480,1.050734833,58.64955894,0,0,0,0.002083333,37.86753915,0,0,114.0083333,31.885051,0.617353271,31.1736875,40.89331458,-0.859635417,#DIV/0!,30,0,1,16
DB1,src11_hrc07,src11_hrc00_,640x480,yuv422p,67.69080714,2.074074074,33.806408,0.95172,0.974275,480,1.054421063,34.55937667,0,0,0,0,35.02404552,0,0,114.275,30.41549938,0.624117354,24.51397917,25.30601458,-0.859635417,#DIV/0!,30,0,1,16
DB1,src11_hrc24,src11_hrc00_,640x480,yuv422p,36.66349534,1.111111111,30.241308,0.907095,0.936996,480,1.065810792,32.72554329,0,0,0,0.020833333,33.61820519,0,0,114.1604167,29.727903,0.666160125,24.33272917,36.6345875,-0.859635417,#DIV/0!,30,0,1,16
DB1,src11_hrc12,src11_hrc00_,640x480,yuv422p,42.56696221,1.222222222,30.667061,0.911866,0.944922,480,1.056972,32.17501675,0,0,0,0,34.07813721,0,0,114.1833333,29.9557964,0.624693208,24.2761875,32.1019375,-0.859635417,#DIV/0!,30,0,1,16
DB1,src11_hrc03,src11_hrc00_,640x480,yuv422p,75.54690493,2.814814815,34.797556,0.95975,0.981044,480,1.054051521,34.48031958,0,0,0,0,35.20992052,0,0,114.14375,30.52219717,0.654684083,24.76816667,23.01180625,-0.859635417,#DIV/0!,30,0,1,16
DB1,src11_hrc09,src11_hrc00_,640x480,yuv422p,90.306491,4.333333333,40.837817,0.98972,0.995108,480,1.052584458,37.95231542,0,0,0,0,35.6376659,0,0,114.2354167,30.73841069,0.617824771,24.9391875,19.00110208,-0.859635417,#DIV/0!,30,0,1,16
DB1,src11_hrc17,src11_hrc00_,640x480,yuv422p,55.74720229,2.814814815,31.888389,0.933336,0.965205,480,1.055736729,31.87563944,0,0,0,0,34.95621702,0,0,114.1729167,30.3488255,0.657367813,24.56464583,23.70699583,-0.859635417,#DIV/0!,30,0,1,16
DB1,src11_hrc11,src11_hrc00_,640x480,yuv422p,62.75130919,1.814814815,33.473739,0.950144,0.971704,480,1.054755438,34.77224373,0,0,0,0,34.77099304,0,0,114.375,30.34048771,0.617642313,24.52204167,33.28323958,-0.859635417,#DIV/0!,30,0,1,16
DB1,src11_hrc13,src11_hrc00_,640x480,yuv422p,90.43282153,4.296296296,40.838546,0.989721,0.995107,480,1.052425938,37.98977938,0,0,0,0,35.643253,0,0,114.19375,30.74054081,0.622234313,24.94983333,18.23842917,-0.859635417,#DIV/0!,30,0,1,16
